candidate_relation_triple,label
ipad applications are usually written in the xcode ide,1
apple running the ios operating system,1
ipad applications are usually written in c,1
ipad applications are usually written in the xcode ide,1
facebook graph api is provided by the facebook platform,1
encryption been used by militaries,1
encryption been used by governments,1
encryption has long been used militaries,1
encryption has long been used governments,1
encryption facilitate secret communication,1
encryption facilitate secret communication,1
encryption is now commonly used in protecting protecting information,1
encryption is also used to protect data,1
encryption can protect the confidentiality,1
the canvas is commonly used to display drawings,1
the canvas draw pixel data,1
visual studio code includes rich development experiences,1
visual studio code includes git control,1
visual studio code includes various extensions,1
visual studio code is available for linux,1
visual studio code is available for windows,1
visual studio code is available for mac,1
visual studio code has a rich ecosystem,1
visual studio code uses the blink layout engine,1
the visual studio code team provides keymaps,1
the visual studio code team provides popular editors,1
jstl doesn't support servlet container,1
core is supported by microsoft,1
library provides level interface,1
gnuplot works for mac,1
gnuplot works for windows,1
gnuplot works for linux,1
gnuplot works for other operating systems,1
arraylist denotes an abstract data type,1
arraylist represents the list contents,1
mod_rewrite can provide conditional hooks,1
mod_rewrite can provide functionality,1
mod_rewrite can be used to perform external redirects,1
the applicable c++ standard library container class is called std,1
cakephp uses commonly known design patterns,1
cakephp uses commonly known the convention,1
cakephp uses design patterns,1
cakephp uses configuration,1
cakephp uses convention,1
cakephp comes with form tampering protection,1
cakephp comes with injection prevention,1
cakephp comes with tools,1
cakephp comes with input validation,1
cakephp comes with xss prevention,1
cakephp comes with csrf protection,1
amazon ec2 rent virtual machine instances,1
amazon ec2 rent virtual machine instances,1
razor supports seamless transitions,1
razor supports seamless transitions,1
jdbc is oriented towards relational databases,1
intents are used extensively within the android platform,1
microsoft visual c++ supports debugging raw assembly code,1
microsoft visual c++ supports debugging a native code,1
microsoft visual c++ allows multiple processes,1
grails has a plugin architecture,1
a plugin architecture can provide common web application,1
google cloud platform provides store data,1
google cloud platform provides cloud computing services,1
google cloud platform provides store data,1
java ee specifies client architectures,1
java ee uses profiles,1
java ee define technology sets,1
java ee is currently migrating to level project ee4j,1
java ee is currently migrating to the intent,1
java ee is currently migrating to the eclipse foundation,1
java ee has been rebranded as open community process,1
java ee has been rebranded as jakarta ee,1
redux serves as a centralized store,1
dijkstra's algorithm runs in quadratic time,1
dijkstra's algorithm can be shown to run a fast fibonacci heap,1
meteor is built on one unifying idea,1
npm became fully supported meteor,1
xcode provides an object model editor,1
woocommerce is built in jquery,1
woocommerce is built in php,1
woocommerce is built in mysql,1
woocommerce is built in javascript,1
woocommerce is now owned by woocommerce parent company automattic,1
viewmodel is used in frameworks including wpf,1
viewmodel is used in all xaml,1
virtual machine can be used as a scripting language,1
vim allows high efficiency,1
vim has a steep learning curve,1
vim allows many text editing tasks,1
vim is available on a large number,1
vim is often called programmer's editor,1
vim is perfect for all kinds,1
vim is perfect for composing email,1
cloud firestore is integrated into both firebase,1
cloud firestore is integrated into google cloud platform,1
lambda expressions are supported in java,1
android does not currently use java,1
the mysqli php extension provides level mapping,1
the mysqli php extension provides mysql's c interface,1
the mysqli php extension was deprecated in php version,1
mysqli features provide an equivalent procedural interface,1
mysqli features provide interface,1
beautiful soup can use standard html parser,1
beautiful soup can use other parsers,1
beautiful soup provides idiomatic ways,1
beautiful soup works only on python 2.x,1
spring security can be used to secure urls,1
spring security can be used to secure method invocations,1
spring security is widely used to secure rest applications,1
spring security is widely used to secure standalone web applications,1
spring security is widely used to secure portlets,1
spring security is released under an apache 2.0 license,1
dlls can contain code,1
dlls can contain data,1
dlls can contain resources,1
dlls can contain exes,1
netbeans refers to an integrated development environment,1
netbeans refers to a platform framework,1
netbeans ide provides multiple project windows,1
the netbeans gui builder has been used to prototype guis,1
the netbeans gui builder has been used to customer presentations,1
the netbeans gui builder provides static analysis tools,1
netbeans ide includes a visual debugger,1
netbeans ide has editors,1
netbeans ide can be installed on all operating systems,1
netbeans ide is written in java,1
the highcharts library works in all modern browsers,1
apache kafka apache kafka is used for building time data pipelines,1
apache kafka apache kafka is used for building streaming apps,1
apache kafka grants access,1
the microsoft supplied command line interpreter supplied all microsoft windows operating systems,1
pdo works with database systems,1
pdo provides access abstraction layer,1
pdo does not provide a database abstraction,1
pdo doesn't rewrite sql,1
pdo emulate missing missing features,1
pdo uses a dsn,1
pdo define the connection,1
pdo has connection options,1
connection options can help tune,1
a custom exception handler is recommended to use unhandled exceptions,1
pdo has handy methods,1
the websockets protocol described in rfc,1
the websockets api has full browser support,1
encrypted connections use url scheme,1
python provides data analysis,1
python provides data mining,1
semi-permanent data operate under databases,1
that distinct doesn't have valid applications,1
a union concatenates congruent data sets,1
ffmpeg is published under the gnu lesser general public license,1
the eloquent orm included with laravel,1
the eloquent orm provides simple activerecord implementation,1
the eloquent orm included with laravel,1
the eloquent orm provides simple activerecord implementation,1
c++ container framework provides vectors,1
maps may have multiple keys,1
java collections framework provides hash tables,1
java collections framework provides stacks,1
java collections framework provides sets,1
java collections framework provides queues,1
java collections framework provides lists,1
java collections framework provides hash tables,1
collections work with multiple threads,1
c++ container framework provides specialized classes,1
c++ container framework provides data storage,1
c++ container framework provides retrieval,1
language used for side scripting,0
language used for web browsers,0
javascript be run outside of the use,0
answer is expected for questions,0
an engine is included in mainstream web browsers,0
the mozilla developer network contains quality documentation,0
the mozilla developer network is also used in addition,0
the mozilla developer network is also used in environments,0
the language was officially called livescript,0
the language shipped in september,0
the language shipped in beta releases,0
the language was deployed in the netscape browser version 2.0b3,0
netscape adding support adding netscape adding support,0
netscape adding support adding netscape netscape netscape navigator 2.0 web browser,0
the final choice caused name caused confusion,0
the final choice giving the impression,0
the choice has been characterized as a marketing ploy,0
the term originated from netscape,0
ecmascript was developed as a standardization,0
ecmascript was developed as a standardization,0
people do not distinguish jscript variations,0
browsers implement the ecmascript 3 specification,0
the ecmascript 3 specification does not contain functions,0
javascript provide the potential,0
the dom provide the potential,0
malicious authors deliver scripts,0
browser authors contain this risk using two restrictions,0
scripts perform actions,0
scripts perform a sandbox,0
scripts are constrained by origin policy,0
access sent to another site,0
code is executed on a web page,0
this tag used in conjunction,0
java has level facilities,0
the jvm manages the help,0
the jvm see collection,0
java supports features,0
code executes on one platform,0
sun microsystems merged with oracle corporation,0
sun microsystems merged with january 27th,0
java was started as june,0
computing systems have installed tools,0
the java platform features a wide variety,0
developers work efficiently with the java programming language,0
the main reference implementation is supported by major companies including oracle,0
few computers can run java programs,0
java apps own installers,0
native code compiled to target version,0
java can be compiled java,0
java code need a java installer package supplier,0
a supplier will take care,0
java comes in lts,0
java comes in non-lts versions,0
suppliers release all versions,0
all versions will support lts versions,0
the end dates for available distribution,0
java programs should adhere to the following naming conventions,0
java programs decrease the chances,0
others understand code,0
people ask about the following java topics,0
applications need a programmable interface,0
python runs on the mac,0
a large standard library covers areas,0
the language comes with a large standard library,0
the python standard library get an idea,0
python allows programmers,0
python express concepts,0
python has constructs,0
guido van rossum chose python chose guido van rossum chose python,0
guido van rossum chose python chose a working title,0
a question relates to a specific version,0
python is also used in a wide range,0
party tools can be packaged into standalone executable programs,0
source software has development model,0
a wide variety see python implementations,0
the philosophy is succinctly formulated in the zen,0
python uses syntax,0
python uses many other languages,0
question includes issues,0
question use python,0
question use python-3.x,0
many beginners face canonical duplicate targets,0
many beginners face the common questions,0
distributions come with pip,0
easy_install was released in part,0
a simple python library is meant to simplify many methods,0
connection pooling are automatically handled to provide ultimate simplicity,0
an easy python interface modify image files,0
an easy python interface modify many different ways,0
a simple python library provide an easy python interface,0
websites structured data,0
extract structured data,0
websites structured websites pages,0
extract structured websites pages,0
web scraping framework structured data,0
scrapy can be used for a wide range,0
beautiful soup creates tree,0
tree can be used to extract parsed pages,0
tree can be used to extract data,0
building python applications work with human language data,0
building python applications work with the processing,0
building python applications work with human language data,0
building python applications work with the processing,0
question has anything,0
dependencies allows for freedom,0
dependencies allows for control,0
other applications require lived connection,0
web framework enables developers,0
source code is developed in time,0
a lightweight web framework combines ideas,0
the emerging wsgi standard allows flexibility,0
the current development is being led by mark ramm,0
the bottle has no dependencies,0
the bottle is distributed as a single file module,0
additional material objects are available via kivymd,0
some features be available in the free version,0
tkinter using using tk,0
tkinter is popular for tkinter simplicity,0
many users can help questions,0
inserts displays the natural gui,0
little code displays the natural gui,0
numpy contains among other things,0
a multidimensional array is used as the basic data structure,0
a multidimensional array is used as scipy,0
theano does on the interface python code making theano,0
the interface python code making theano optimized using routines,0
blender supports the entirety,0
source machine learning library written in python,0
question has anything,0
a python package wraps c,0
the original php project stands for today,0
the original php project stands for the recursive acronym php,0
stable release can be found on the php website,0
development changes can be found on the php website,0
development branches can be found on the php website,0
the source code is available at php's github repository,0
any other linux php provides web server,0
these applications include other components,0
web server can be started using the following command,0
the server will listen on port,0
all relevant code be included in question,0
all relevant code be included in answer,0
all versions have been announced end,0
php installed on machine,0
the pear repository contains classes,0
the php framework interop group has created sets,0
php supports a wide range,0
all modern versions include pdo,0
database support have surfaced including apache thrift,0
database support have surfaced mongodb,0
database support have surfaced redis,0
database support have surfaced others,0
party contributions are the vast functionality,0
a package management tool inspired by npm,0
a package management tool inspired by ruby,0
project dependencies be specified in a json file,0
composer uses packages,0
composer uses packagist,0
packagist is rapidly growing to contain popular php libraries,0
software downloaded with composer,0
a number have been proposed the php framework interop group,0
a number have been proposed the php framework interop group,0
coding standards are known as the php standards recommendations,0
status can be found on fig recommendations page,0
status can be found on the php standards recommendations,0
android is based on version,0
google wear os,0
google has further developed addition,0
google wear wrist watches,0
variants are also used on other electronics,0
variants are also used on game,0
variants are also used on digital cameras,0
variants are also used on pcs,0
app has stopped problem,0
app has stopped app,0
app has stopped any other exception,0
specific tags are used for developer assistance,0
specific tags are meant for libraries,0
butterknife otto picassogreendao android developers contains documentation,0
the google maps api port provides information,0
other android developer support sites are addition,0
questions regarding html should include some idea,0
questions regarding html should include a minimal reproducible example,0
this tag is often paired with javascript,0
this tag is often paired with css,0
html describes the structure,0
a browser renders html,0
conjunction defines style,0
conjunction defines dynamic elements,0
conjunction defines javascript,0
html tags borrowed the syntax,0
html provides a means,0
javascript affects the behavior,0
web pages written in different programming languages,0
the opening tag includes a forward slash,0
various types can be contained within these tags,0
web browsers read these documents,0
web browsers render web browsers,0
iteration was recently developed by the w3c,0
w3c calls html5,0
standard is specified by whatwg,0
interactive parts are programmed javascript,0
a question should be related to jquery,0
jquery should be used by the code,0
jquery should be used by question,0
jquery related jquery usage,0
jquery simplifies animation,0
jquery simplifies api,0
api works across browsers,0
jquery provides a platform,0
plugins extend jquery capabilities,0
jquery create plugins,0
the development is coordinated by the jquery foundation,0
jquery supports the current stable version,0
the preceding version supports the current stable version,0
1 version supports the current stable version,0
jquery supports addition,0
ie was dropped by jquery 2.x,0
jquery provides download links,0
code is somehow manipulating the dom,0
the dom finishes loading,0
jquery provides ways,0
way add jquery,0
jquery 3.x removes the ability,0
jquery code conflicts with another library,0
many functions can perform multiple changes,0
many functions can perform one call,0
many functions can perform grouping,0
jquery wrapped variables wrapped jquery wrapped variables,0
mistakes is to utilize jquery,0
the click event handler was fired the element,0
mistakes access properties,0
the benefits outweigh the nominal speed differences,0
the first example is preferred comparison,0
the benefits outweigh sensitive applications,0
the idiomatic syntax is robust against the injection,0
a quote character close the attributes,0
a quote character close instance,0
a quote character close the 2nd example,0
c++ has a similar syntax,0
c++ was originally designed as an extension,0
c++ was developed in a set,0
building improved safety,0
building added added support,0
a question should be tagged with c,0
a question should be tagged with c++,0
a question should be tagged with c++,0
a question should be tagged with both c,0
the user are programming in c,0
the tags should be left such cases,0
a c question has never been tagged c++,0
answers should be deleted as off topic,0
the question had the c++ tag,0
the first international standard would be informally known as c++,0
the c++ committee responded to multiple problems,0
multiple problems were reported with c++,0
2011 a new standard was published in 2011 a new standard,0
2011 a new standard was published in iec,0
compilers are supporting the new language features,0
a few features have been deferred to the next iteration,0
c++ was approved in august,0
c++ released in december,0
c++ released in the same year,0
c++ adds major features,0
c++ adds several minor ones,0
the new standard was approved the iso,0
the new standard was approved september,0
the new standard published in december,0
2020 the c++ standard committee completed work completed 2020 the c++ standard committee completed work,0
2020 the c++ standard committee completed work completed february,0
new features been accepted into the c++,0
new features have already been accepted the c++,0
new clocks requires expressions,0
new clocks requires template constraints,0
a type trait detect scoped enumerations clang c++23 language support,0
a proposal add std,0
new features been accepted into the c++23 draft,0
new features have already been accepted the c++23 draft,0
elements should be rendered on paper,0
elements should be rendered on screen,0
elements should be rendered on speech,0
elements should be rendered on other media,0
elements should be rendered on paper,0
elements should be rendered on screen,0
elements should be rendered on speech,0
elements should be rendered on other media,0
elements should be rendered on paper,0
elements should be rendered on screen,0
elements should be rendered on speech,0
elements should be rendered on other media,0
html deprecated these attributes,0
the visual presentation was originally defined by html attributes,0
css was introduced to separate the control,0
h?kon wium lie proposed proposed cascading html style sheets,0
lee had been developing a web browser,0
lee inventing inventing html,0
h?kon wium lie proposed october,0
a pattern matches elements,0
property declarations define the presentation,0
each rule set starts with a selector,0
a pattern matches a html,0
a pattern matches xml document,0
a pattern is followed by a block,0
the selector is quasi-identical to the selector,0
example illustrates the cascading element,0
example illustrates example,0
the link will have a pink background,0
the link will have each rule,0
color override those from set,0
decoration properties override those from set,0
property value is applied to an element,0
selectors have priority,0
selectors using a class name,0
selectors have priority,0
important annotation can be used to override selector precedence,0
specificity should be used in preference,0
occurrences increase specificity,0
selector has specificity,0
a selector could match many elements,0
class selectors have specificity,0
classes will win against element selectors,0
id selectors have specificity,0
ids will win against class selectors,0
a project has multiple large css files,0
properties are applied not only to the mechanism,0
properties are applied not only to element,0
properties are applied not only to inheritance descendants,0
properties are applied not only to the mechanism,0
properties are applied not only to element,0
properties are applied not only to inheritance descendants,0
descendant elements inherit properties,0
internet explorer doesn????t support this keyword,0
the operating system powers many of mobile devices,0
the operating system powers many of mobile devices,0
the operating system be confused with os,0
18c66 released on december,0
applications are written for the cocoa touch framework,0
apple announced a new language,0
apple announced june 2nd,0
a new language could be used to develop apps,0
swift is september 17th,0
each ios application runs in ios,0
extensions extend custom functionality,0
an ios application can have ios,0
extensions extend the application,0
ios is optimized for the power,0
interface is based on the concept,0
interface is based on multi-touch gestures,0
internal accelerometers rotating rotating one application,0
one common result is switching from portrait,0
one common result is switching from landscape mode,0
one common result is switching from autorotation,0
apple adapted adapted features,0
apple adapted os x,0
many features were implemented first in including application sandboxing,0
many features were implemented first in ios,0
the apple covers information regarding ios development,0
the developer documentation provided by the apple,0
an open source rdbms runs as a server providing multi-user access,0
mysql offers using mysql,0
applications are compatible with industry standards odbc,0
applications are compatible with jdbc,0
tools are compatible with industry standards odbc,0
tools are compatible with jdbc,0
these steps will help people,0
questions should include code examples,0
questions should include table structure,0
questions should include sample data,0
questions should include a tag,0
question relates solely to a specific dbms,0
question uses features,0
answers tagged with query language,0
standard sql stands for query language,0
the word relation is synonymous with relational algebra,0
the word relation is synonymous with the word table,0
many database implementations require the use,0
vendors have implemented the years,0
standard sql is fractured these deviations,0
syntax works on one implementation,0
standards have been beneficial in resolving such situations,0
standards should be portable to other databases,0
dbmss have additional languages,0
oracle use procedures,0
oracle use functions,0
postgresql use procedures,0
postgresql use functions,0
the tags plsql be used for problems,0
plpgsql be used for problems,0
the mysql tag should be used for tags,0
the mysql tag should be used for general sql programming language questions,0
questions should use server tag,0
questions regarding mysql should use the mysql tag,0
questions should use example,0
these products exist the umbrella,0
functionality is available for the task,0
these products tagging these products,0
mysql questions omit the mysql tag,0
query discussions stated as mysql,0
query discussions stated as sql,0
this tag should be used for questions,0
questions use this tag,0
specific questions received on bioconductor support,0
specific questions received on biostars,0
general questions are unsuitable for stackoverflow,0
general questions may be appropriate for interest,0
research determine appropriate venue,0
question may be automatically migrated to appropriate stackexchange site,0
question is put on hold,0
question put on hold,0
all alternative r engines have the goal,0
questions get tagged with simple name,0
questions get tagged with the r tag,0
tags mistagged mistagged r questions,0
developing applications make heavy use,0
runtime uses google's v8 javascript engine,0
developing applications rely on the ability,0
the commonjs standard allows for development,0
the commonjs standard allows for the distribution,0
the commonjs standard allows for packages,0
asp.net is useful to use this tag,0
asp.net was first released in january,0
asp.net was first released in version,0
asp.net allowing allowing programmers,0
a model mimics event model,0
microsoft released version released microsoft released version,0
microsoft released version released march,0
the position can be computed from index tuple,0
the position can be computed from a mathematical formula,0
the length must be set some languages,0
myarray would represent the first element,0
elements are usually specified with example,0
elements are usually specified with first index,0
the length would represent the last element,0
some languages use 1 as the initial index,0
some languages have collections,0
some languages have basic arrays,0
basic arrays have size,0
basic arrays provide element access,0
basic arrays are supported by the compiler,0
collections have a wide range,0
basic arrays should be used to name such cases,0
basic arrays should be used to name these basic arrays,0
an array is known as example,0
an array is known as dimensional array,0
arrays are called matrices,0
arrays are called other words,0
this tag should be used with general questions,0
c is distinct from c,0
purpose computer programming language developed between the bell telephone laboratories,0
purpose computer programming language developed between use,0
purpose computer programming language developed between dennis ritchie,0
constructs map efficiently to typical machine instructions,0
purpose computer programming language developed between dennis ritchie,0
purpose computer programming language developed between the bell telephone laboratories,0
purpose computer programming language developed between use,0
applications been coded in assembly language,0
applications had formerly been coded assembly language,0
purpose computer programming language provides constructs,0
purpose computer programming language developed between the bell telephone laboratories,0
purpose computer programming language developed between use,0
purpose computer programming language developed between dennis ritchie,0
programming languages tend to emphasize data,0
optional library are standardized as iec,0
a c compiler does not exist few computer architectures,0
many other popular programming languages began as an extension,0
language constructs require time support,0
language constructs map efficiently to machine instructions,0
many applications been coded in assembly language,0
many applications had formerly been coded assembly language,0
c program can be compiled for few changes,0
assembly language has become available on wide range,0
a question should be tagged with c,0
a question should be tagged with c++,0
a question should be tagged with c++,0
a question should be tagged with both c,0
the user are programming in c,0
the tags should be left such cases,0
a c question has never been tagged c++,0
answers should be deleted as off topic,0
the question had the c++ tag,0
ruby is known for ruby,0
the mvc architectural design pattern separates three different modules,0
rails tag is particularly appropriate for questions,0
questions be asked on the appropriate tags,0
json uses conventions,0
these properties used instead of xml,0
these properties used instead of these properties,0
these properties is often used xml,0
these properties is often used these properties,0
many programming languages provide methods,0
javascript includes example,0
list defines six types,0
the json format is based on two types,0
validation was added following the description,0
json validation validate both current competing json standards rfc,0
json validation validate both current competing json standards rfc,0
this extensive library simplifies development,0
microsoft sql server is available in multiple versions,0
sql server was released on november 4th,0
microsoft sql server product range is split broadly into six categories,0
the primary differences are licensing licensing costs,0
the primary differences are licensing capacities,0
the primary differences are licensing components,0
other components include parallel computation,0
other components include olap,0
other components include reporting,0
sql server express has reduced functionality,0
sql server express is free for distribution,0
sql server express is free for use,0
sql server compact edition has functionality,0
sql server compact edition has capacity,0
sql server compact edition has a reduced language,0
customers should use sql server express,0
customers should use localdb,0
microsoft offers a comparison table,0
microsoft is recommended to use server tag,0
a javascript library interfaces uses paradigm,0
a declarative paradigm makes a javascript library,0
the components can be re-rendered individually without the need,0
the whole page be repainted by the browser,0
a user can update a particular content,0
a user can update re-rendering,0
current stable version released on january,0
swift released on january,0
the language can use existing macos frameworks,0
the language can sit side,0
the language can sit c,0
the language can sit applications,0
swift was introduced by 8th june,0
swift was introduced by 13th june,0
swift was introduced by the news,0
swift was introduced by 5th june,0
swift was introduced by 4th june,0
swift was introduced with 25th march,0
swift was introduced with 20th september,0
swift was introduced with 24th march,0
swift was introduced with 16th september,0
this tag should be used only on questions,0
questions depend on code,0
programming language adds style messaging,0
c is now primarily developed by programming language,0
programming language adds the c programming language,0
c inherits the syntax,0
c inherits primitive types,0
c adds syntax,0
c adds methods,0
c has many powerful features,0
python features the syntax,0
some users remain on version,0
some users remain on various reasons,0
python has reached end,0
meaning python will receive no further updates,0
meaning python will receive bugfixes,0
python has reached january,0
python has reached life status,0
many frameworks are following a similar policy,0
question includes python 3.x,0
level python web framework encourages rapid development,0
level python web framework encourages pragmatic design,0
the non-profit django software foundation takes care,0
relational mapper mediates between a system,0
relational mapper mediates between a relational database,0
relational mapper mediates between data models,0
the browser augment the html vocabulary,0
the browser augment directives,0
directives add dom control,0
directives add unrolling,0
directives add behind dom,0
directives add form validation,0
directives add way data binding,0
angularjs was developed google,0
angularjs is used internally by applications,0
angularjs refers to all 1.x versions,0
tag be used for questions,0
versions include code names,0
versions include release dates,0
versions include notes,0
code names include code names,0
code names include release dates,0
code names include notes,0
release dates include code names,0
release dates include release dates,0
release dates include notes,0
questions should use this tag,0
metadata consists of styling,0
metadata consists of the template,0
metadata consists of templateurl,0
metadata consists of the selector,0
application needs any value,0
application needs function,0
application needs feature,0
angular uses dependency injection provide new components,0
angular uses dependency injection provide the services,0
all major versions feature some breaking changes,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
specific tags include excel,0
regular expressions match patterns,0
all questions include a tag,0
requests explain a regular expression pattern,0
requests explain construct,0
this regex mean contains details,0
this regex mean contains regular expression constructs,0
the term is typically abbreviated as regex,0
the term is typically abbreviated as regex,0
common denominator recommended for a tool,0
question relates to automata theory sense,0
question relates to regular expressions,0
a link see link section,0
some representative data can do wonders,0
a link see attempt,0
issue been solved by somebody,0
issue has already been solved somebody,0
issue asking asking something,0
issue asking asking something,0
the following section outlines some common recurring topics,0
the tool are using using supports,0
the tool are using the syntax,0
question is not specific to any particular implementation,0
many engines issue a warning,0
the regex way say the record,0
p matches the same string,0
p matches expression http,0
beginners attempt to use square brackets,0
jun may look like a regex,0
jun may look like matching months,0
abc defines a character class,0
a character class matches a single character,0
abc defines the record,0
the proper way express alternation,0
related dialects will need backslashes,0
beginners will use negated character classes,0
the proper way express many dialects,0
beginners will use negated attempt,0
turn followed by any single character,0
abc matches a single character,0
the character class negation operator is distinct from the beginning,0
the engine will find the engine,0
the regex a. will match the entire string,0
b will match the entire string,0
abc captures the last occurrence,0
abc captures string,0
common applications include data validation,0
common applications include the production,0
common applications include data,0
common applications include data,0
common applications include many other tasks,0
regular expressions would be useful on internet search engines,0
many cases system administrators can run queries,0
search engines do not offer regex support,0
many cases system administrators can run many cases system administrators,0
search engines do not offer the public,0
a smartphone was first launched on june,0
native ios applications are written in the release,0
native ios applications are written in the release,0
questions are also applicable to ipod touch devices,0
the iphone wear both tags,0
several hardware features are accessible to native applications,0
several hardware features are accessible to some cases,0
sensors are accessible to native applications,0
sensors are accessible to some cases,0
several hardware features are accessible to native applications,0
several hardware features are accessible to some cases,0
classes exist in both cocoa,0
classes exist in cocoa touch,0
language combines concepts,0
language combines perl,0
language combines smalltalk,0
language combines lisp,0
language combines concepts,0
language supports multiple programming paradigms,0
language combines smalltalk,0
language combines lisp,0
language combines perl,0
language combines concepts,0
language has a dynamic type system,0
language has automatic memory management,0
language combines concepts,0
language combines smalltalk,0
language combines lisp,0
language combines perl,0
language combines smalltalk,0
language combines lisp,0
language combines perl,0
primary purpose help every programmer,0
primary purpose enjoy programming,0
ruby was initially conceived on february,0
ruby's mindshare spiked around ruby,0
ruby continuing to find acceptance,0
ajax update displayed information,0
ajax uses api,0
data was only sent during the client communication phase,0
each html request would provide part,0
each html request would provide part,0
this second alternative used operations,0
an entire data reloading the base page,0
an entire data set into the client,0
level api encapsulate object,0
level api providing interface,0
the client opens a new xmlhttprequest,0
the client requests a web page,0
a special page loads data,0
this request is typically aimed at a special page,0
the code must handle the communications layer,0
the client receives a packet,0
this callback function will be called every time,0
the client receives the server,0
many javascript libraries will handle this interaction,0
a new api called fetch an example,0
question relates to programming using linux apis,0
computer operating system consists of space libraries,0
computer operating system consists of programs,0
a system uses a monolithic kernel,0
a monolithic kernel handles file system access,0
device drivers integrated directly with the kernel,0
device drivers are either integrated the kernel,0
separate projects interface with the kernel,0
the graphical user interface used by linux systems,0
the linux tag is generally used for questions,0
notable questions be properly tagged as unix,0
some features are specific to linux,0
a fair number tagged with shell,0
the particular shell are interested in bash,0
regarding writing gnu should be tagged kernel,0
distrowatch aggregates keeps track,0
xml flexibility lends to a wide variety,0
the tags will be similar to tags,0
the tags will be similar to html,0
a language is very similar to html,0
this way xml acts like this way xml,0
this way xml acts like language,0
a language create other languages,0
the design goals emphasize simplicity,0
the design goals emphasize generality,0
the design goals emphasize usability,0
the design focuses on documents,0
the design is widely used for the representation,0
xml has reached version,0
xml was introduced in version,0
xml has some unique features,0
the structure is very similar to the structure,0
the nodes being called tags,0
the following links provide additional information,0
the text serves as an example,0
the following text is defined using entity references,0
the following links learn about sgml html xhtml xquery xpath xslt xlink xpointerxml,0
an open source web application framework implements pattern,0
tooling implements pattern,0
source web application framework implements pattern,0
tooling implements pattern,0
the asp.net mvc framework provides an alternative,0
the asp.net mvc framework provides the asp.net webforms framework,0
the asp.net mvc framework uses existing existing asp.net features,0
the asp.net mvc framework has become initiative,0
the asp.net mvc framework has become recent versions,0
mvc releases tend to package additional technologies,0
asp.net mvc is based separates architectural pattern,0
asp.net mvc is based separates an application,0
the reason is to provide overall architecture,0
the reason is to provide improving maintainability,0
this concept is often referred to as separation,0
a model represents the state,0
a model maps to a database table,0
a controller handles interactions,0
a controller handles updates,0
a model reflect a change,0
a controller passes information,0
a controller passes the view,0
a view accepts necessary information,0
a view renders a user interface,0
microsoft has shipped the framework,0
microsoft has shipped the framework,0
microsoft has shipped a specific release,0
microsoft has shipped a specific release,0
versions tied to a specific version,0
the first thing apply all updates,0
the first thing is open up the nuget package manager,0
compatibility stay with version jquery 1.x,0
questions may refer to a specific version,0
questions apply to versions,0
the question says mvc3,0
question is specifically about programming any ms office application,0
programming language was first introduced by microsoft,0
vba uses a subset,0
vba 6 code will run equally well on any host,0
vba is still built into microsoft office applications,0
new features allow vba,0
specific object models are regularly supplemented to support new functionality,0
several important changes made to vba,0
vba support be locked a security measure,0
vba support be locked network administrators,0
microsoft returned vba returned microsoft returned vba,0
microsoft returned vba returned office,0
vba vba has repeatedly replied a large amount,0
vba vba will be removed altogether from office,0
a simple subroutine generates a message box,0
a simple subroutine prints a message,0
a simple subroutine prints the immediate window,0
spring provides services,0
spring provides functionalities,0
people ask about the following spring topics,0
the data are typically organized to model aspects,0
the data are typically organized to a way,0
a way supports finding a hotel,0
the data is typically organized to model aspects,0
the data is typically organized to a way,0
a large proportion rely on databases,0
database systems provide other properties,0
database systems provide persistence,0
computer science graduates cite databases database class,0
the term database be confused with database management system,0
an atomic system must guarantee every situation,0
a committed transaction appears the outside world,0
any transaction will bring the database,0
any transaction will bring one valid state,0
any data written to the database,0
the application programmer might have wanted all ways,0
any programming errors result in the violation,0
the concurrent execution results in a system state,0
the effects be visible to another transaction,0
durability will remain the event,0
the results need to be a relational database,0
the results need to be instance,0
transactions must be recorded in a non-volatile memory,0
effects must be recorded in a non-volatile memory,0
topic questions include those about theme development,0
webmasters have the flexibility,0
webmasters have dynamic presentation,0
wordpress allows developers,0
wordpress allows wordpress system,0
pieces can be grouped into separate executables,0
wordpress extend functionality,0
wordpress should be distinguished from wordpress.com,0
questions asked on stack exchange wordpress development,0
server configuration asked on stack exchange wordpress development,0
practices asked on stack exchange wordpress development,0
wordpress appeared january,0
wordpress has since been improved many times,0
wordpress has since been improved updates,0
major release released on august,0
wordpress released on august,0
the source code is hosted on github,0
the source code licensed under the terms,0
laravel will release major updates,0
laravel will release version,0
development is lead by taylor otwell,0
programming languages provide a dedicated string data type,0
programming languages providing a way,0
programming languages denote string literals,0
the right string type decrease the order,0
the wrong one be able to accommodate string data,0
languages support strings,0
languages support a list,0
a special string is getting unicode support,0
the complexities set into the string type,0
strings can be iterated languages,0
string operations create new strings,0
some early adopters transitioned transitioned form ucs2,0
many encodings used text strings,0
modern usage is converging on unicode,0
some early adopters transitioned utf,0
some early adopters transitioned a persistence format,0
windows software adopts the winapi convention,0
a string is surrounded by double quotes,0
a string is surrounded by example,0
a string is surrounded by c++,0
a string is surrounded by java,0
framework used to create rich client user experiences,0
runtime languages define user interface elements,0
